date	people	ceremony_type	user_id	msg_id
07-29-2023	250	Γάμο	118	1839ea4f25a721e1
06-09-2024	150	Γάμος	119	1839c91dc65da947
07-29-2023	300	Γάμος	109	1839aa4603233332
03-09-2023	200-250	ΓΑΜΟ	120	18399d1ee752d273
02-09-2023	250	ΓΑΜΟ	121	18399cec5eee286f
03-06-2023	100	ΓΑΜΟ	122	18399ce73dbc94bd
25-08-2023	200	ΓΑΜΟ	123	18399ce22a307a54
16-09-2023	250-300	ΓΑΜΟ	124	183987e0ebc726ee
24-06-2023	250	ΓΑΜΟ	125	183987de87c01011
02-07-2023	200-250	ΓΑΜΟ	105	183987d4cf02db1a
03-06-2023	320	ΓΑΜΟ	126	183987cfd6278b23
02-09-2023	200	ΓΑΜΟ	127	183987cd06bbdb67
07-10-2023	400	ΓΑΜΟ	129	1839878b62449e1f
09-09-2023	200-250	ΓΑΜΟ	130	18398778c906c3e0
17-9-22	200	ΓΑΜΟ	131	1839876a9e7bfce2
01-07-2023	270-300	ΓΑΜΟ	132	1839876716a705a8
02-07-2023	150+-10	ΓΑΜΟ	133	1839876412cf4eb1
17-06-2023	250	ΓΑΜΟ	134	1839875b280d250f
07-22-2023	200	Γάμος	135	1839869dfb409626
09-02-2023	120	Γάμος	136	18398699b4cac605
07-01-2023	300	Γάμος	132	1839850ac02c4956
09-02-2023	250	Γάμος	121	183980e8c12934c3
19-05-2023	200	ΓΑΜΟ	137	18393baff9c241f4
02-09-2023	250	ΓΑΜΟ	138	18393ba2d8ebd577
10-21-2023	250	Γάμος	78	18390943dcc04b07
09-22-2023	600	Γάμο	139	1838ffafbd131fbb
07-08-2023	350	Γάμος	140	1838d1c29a25030e
09-02-2023	150	Γάμος	141	1838ab61ee20d1a8
09-16-2023	250	Γάμος	142	1838a6d60b15dae7
09-09-2023	200	Γάμος	143	1838987825d4df3c
03-02-2024	200	Γάμος	144	1838893d6a28bec4
04-06-2023	150	ΓΑΜΟ	145	183848d34eb472b1
22-06-2024	350	ΓΑΜΟ	146	183848c44db0e1cd
06-11-2022	100-120	ΓΑΜΟ	147	183848af9d81997c
01-07-2023	400	ΓΑΜΟ	148	183848a3ead38129
06-09-2024	150	ΓΑΜΟ	119	183848974f3cb3f0
28-05-2022	250	ΓΑΜΟ	149	18384891eb954c04
09-09-2023	200	ΓΑΜΟ	25	18384889f889c1ac
05-13-2023	150	Γάμος	150	183808748eb5d4ca
09-16-2023	280	Γάμος	124	1838060ac17e6c99
12-10-2022	180	Γάμος	151	1837ffa7d61c2738
06-25-2023	90	βάπτιση	152	1837fb06979c4a95
06-10-2023	200	Γάμος	153	1837f07e3c2b6956
06-17-2023	250	Γάμος	154	1837accb7cc8a9c4
09-09-2023	200	ΓΑΜΟ	155	1837a66fb32d8fbf
02-09-2023	200	ΓΑΜΟ	156	1837a66aabc97002
02-09-2023	180	ΓΑΜΟ	157	1837a666b97b64cc
21-07-2023	150-160άτομα	ΓΑΜΟ	158	1837a6642de43430
02-09-2023	100-120	ΓΑΜΟ	159	1837a6608e6881cc
29-09-2023	180	ΓΑΜΟ	160	1837a6565151ff97
10-14-2023	180	Γάμο	161	1837a651ae2e8305
09-09-2023	Περίπου260	ΓΑΜΟ	162	1837a64bd9ef3d00
09-09-2023	180	ΓΑΜΟ	163	1837a646bedf65fa
19-05-2023	200-250	ΓΑΜΟ	164	1837a639b74d1e3a
20-05-2023	220	ΓΑΜΟ	165	1837a62f7fc835c9
10-09-2023	150-200	ΓΑΜΟ	166	1837a6294c4c9e76
03-06-2023	200-250	ΓΑΜΟ	167	1837a5d5682ff454
31-08-2024	200	ΓΑΜΟ	168	1837a5c5b7edac48
03-06-2023	340	ΓΑΜΟ	169	1837a5bb2cb147ec
27-05-2023	200	ΓΑΜΟ	170	1837a5b4939c050f
09-09-2022	220-250	ΓΑΜΟ	171	1837a5aaa616745a
06-11-2022	120	Γάμος	147	1837973821bb4367
04-08-2023	200	Γάμος	172	1837678d3d5792d9
09-09-2023	250	Γάμος	155	1837644d8ef4abea
08-26-2022	250	Γάμος	173	18375f1808ac8f0a
09-02-2023	180	Γάμος	157	18374f6d611c9fca
09-09-2023	170	Γάμος	174	18374d3da83569b3
06-03-2023	200	Γάμος	167	1836f17ab0655270
08-31-2024	200	Γάμος	168	1836e80feaa6f549
07-06-2024	300	Γάμος	175	1836b9bbdd0a9efe
09-09-2023	230	Γάμος	171	1836afa1f527d5d4
09-09-2023	230	Γάμος	171	1836afa16e53a8fc
30-04-2023	200	ΓΑΜΟ	176	1836a92e636775bd
06-24-2023	250	Γάμο	178	18365092c554fd81
09-02-2023	350	Γάμο	179	18365086b0dd131f
08-26-2023	120	Γάμος	180	18364a76a82b8196
08-26-2023	150	Γάμος	181	183646566061e1f5
12-12-2023	200	Γάμος	182	183644ec6a733d43
06-24-2023	250	Γάμος	183	183601cd1a866b50
09-09-2023	150	ΓΑΜΟ	184	1835ffbc992be585
06-03-2023	200	Γάμο	185	1835faaa46debf5d
10-07-2023	150	Γάμο	186	1835faa3a8e411f1
09-16-2023	350	Γάμος	187	1835fa54b95129d4
09-09-2023	300	Γάμος	188	1835f4e08e79e2f4
22-09-2023	250	ΓΑΜΟ	189	1835ae24fc150872
18-06-2023	250	ΓΑΜΟ	190	1835a2e7ebeb32e0
06-25-2023	350	Γάμο	191	18356f1e71535de2
07-02-2023	300	Γάμο	192	18355dcbd847d514
05-20-2023	220	Γάμος	193	18355cad0167a2a0
